"text,sentiment"
"Kualitas audionya bagus,positive"
"Audio 3gp,negative"
"Komposisi alat musiknya ancur,negative"
"Mixing audionya keren,positive"
"Ritmenya kecepetan,negative"
"Autotune nya kedengeran banget,negative"
"Efek suaranya mantap,positive"
"Detail instrumenya juara,positive"
"Karakter suaranya bikin nostalgia,positive"
"Karakter suaranya kayanya ambil punya sebelah,negative"
"Mixing audionya nggak seimbang,negative"
"Vokalnya terlalu dominan,negative"
"Ada suara bocor,negative"
"Progression musiknya natural,positive"
"Bassnya mantap,positive"
"Suaranya jernih,positive"
"detail instrumenya mengganggu,negative"
"gabungan instrumennya nggak cocok,negative"
"intro verse sama chorus nya gada bedanya,negative"
"flat banget,negative"
"lagunya ngulang ngulang ritmenya,negative"
"lagunya gampang diinget,positive"
"progressive buildup nya menarik,positive"
"instrumennya kurang pas,negative"
"jadi inget pernah ditinggal,negative"
"udah 10 tahun masih muda aja,positive"
"bosen liat orang yang sama,negative"
"anda membuat karya yang indah,positive"
"korban friendzone banget,negative"
"aneh banget pakaiannya,negative"
"gasuka sama gaya nya deh,negative"
"keren menginspirasi,positive"
"kayak gini kok populer,negative"
"ini yang kemarin ada skandal ya,negative"
"pola hidupnya sehat banget,positive"
"haus popularitas deh,negative"
"positif vibes yaa,positive"
"banyak prestasi keren banget,positive"
"karyanya gapernah gagal,positive"
"ini suka nyari sensasi ya,negative"
"makasih banyak menghibur,positive"
"lucu dan unik banget sihh,positive"
"gapernah bosen liatnya,positive"
"kemarin ketemu dan keren banget,positive"
"apa boleh sekeren ini,positive"
"gacukup ya nyari panggungnya,negative"
"kurangin deh capernya,negative"
"menginspirasi lewat karya,positive"
"suka banget dehh,positive"
"liriknya sangat menyentuh.,positive"
"liriknya jelek banget.,negative"
"berapakalipun didengar tetap fresh.,positive"
"liriknya sangat mengesankan.,positive"
"Liriknya memberikan semangat positif,positive"
"Cerita dalam lirik menyentuh hati terbawa suasana,positive"
"Kata-katanya puitis menyampaikan cinta dengan indah.,positive"
"Setiap kalimat lirik terasa dalam memberikan makna mendalam.,positive"
"Lirik membangkitkan kenangan manis membuat tersenyum.,positive"
"Suka cara penyanyi mengungkapkan perasaan dalam lirik.,positive"
"Meski sederhana lirik menyampaikan pesan kuat.,positive"
"Pilihan kata-kata dalam lirik sangat cerdas memberikan kesan positif.,positive"
"Melalui lirik ini terhubung dengan perasaan penyanyi.,positive"
"Pesan positif dalam lirik membuat merasa lebih optimis.,positive"
"Lirik terlalu klise seperti sering saya dengar sebelumnya.,negative"
"Sulit mengerti makna sebenarnya dari lirik ini terasa ambigu.,negative"
"Ada kekurangan dalam penulisan lirik terasa agak tergesa-gesa.,negative"
"Terlalu banyak metafora membuat lirik menjadi membingungkan.,negative"
"Seharusnya ada lebih banyak variasi dalam penggunaan kata-kata.,negative"
"Tidak terkesan dengan cara penyanyi menyampaikan emosi dalam lirik.,negative"
"Terlalu banyak pengulangan kata-kata terasa monoton.,negative"
"Lirik terlalu sederhana kekurangan kedalaman makna.,negative"
"Pesan dalam lirik terlalu umum tidak terlalu bermakna bagi saya.,negative"
"Lirik cenderung negatif tanpa memberikan solusi atau harapan.,negative"
"Liriknya terkadang sulit untuk dipahami.,negative"
"video klip ini begitu intens! saya merasa terbawa oleh energi dari musik dan visual yang sangat kuat.,positive"
"terlalu banyak adegan klise dalam video klip ini. saya harap ada lebih banyak orisinalitas.,negative"
"mereka berhasil menciptakan mood yang sempurna dengan pencahayaan dan pengaturan set dalam video klip ini.,positive"
"konsep video klip ini sangat aneh. saya tidak bisa mengerti pesan atau tujuan di baliknya.,negative"
"visual yang fantastis! saya suka bagaimana setiap adegan diatur dengan indahnya.,positive"
"saya harap ada lebih banyak variasi dalam setting video klip ini. terlalu monoton dan mudah dilupakan.,negative"
"pesan moral dalam video klip ini sungguh menggugah hati. saya menghargai cara mereka menyampaikannya dengan sangat indah.,positive"
"kualitas produksi video klip ini rendah. terlihat seperti proyek yang terburu-buru tanpa perhatian terhadap detail.,negative"
"saya tidak dapat menahan senyum saya saat menonton video klip ini. begitu ceria dan menghibur!.,positive"
"video klip ini memadukan seni visual dan musik dengan indahnya. saya merasa seperti menyaksikan karya seni yang hidup.,positive"
"terlalu banyak efek khusus yang membuat saya merasa pusing. mereka seharusnya fokus pada esensi musik.,negative"
"koreografi yang menakjubkan! saya tidak bisa berhenti terpesona oleh gerakan-gerakan mereka yang begitu presisi.,positive"
"menggabungkan unsur-unsur nostalgia dengan modernitas.,positive"
"saya merasa tidak terhubung dengan konsep video klip ini. terlalu abstrak dan sulit dipahami.,negative"
"pertunjukan visual yang sangat mengesankan! mereka benar-benar mengambil keuntungan dari teknologi untuk menciptakan pengalaman yang mendalam.,positive"
"keren bagaimana video klip ini mencampurkan elemen animasi dengan gambar nyata. memberikan sentuhan kreatif yang luar biasa.,positive"
"saya tidak begitu suka dengan lagu ini tidak masuk selera.,negative"
"visualnya sangat estetik! setiap frame seakan menjadi lukisan yang hidup menciptakan pengalaman menonton yang tak terlupakan.,positive"
"video klip ini terlalu sederhana. saya harap ada lebih banyak elemen yang dapat memperkaya pengalaman menonton.,negative"
"saya suka konsep warna dan pencahayaan dalam video klip ini. memberikan nuansa yang pas dengan emosi dari lagu tersebut.,positive"
"efek visualnya membingungkan. saya kesulitan mengikuti alur cerita video klip ini dan itu membuat saya kehilangan minat.,negative"
"ceritanya sangat menyentuh hati. saya hampir menangis saat menonton bagaimana video klip ini menggambarkan perjuangan dan kemenangan.,positive"
"saya merasa video klip ini terlalu mainstream. tidak ada yang istimewa atau inovatif. kecewa.,negative"
"video klip ini begitu unik! mereka berhasil menciptakan dunia yang berbeda dengan konsep visual dan desain set yang luar biasa.,positive"
"saya terkesan dengan koreografi dalam video klip ini! gerakan mereka begitu sinkron dengan musik. membuat pengalaman menonton semakin menghibur.,positive"
"Instrumen yang bagus,positive"
"liriknya sopan masuk di telinga,positive"
"Ganggu bnget orang2an  dibelakang,negative"
"konsep visual video klip terasa klise,negative"
"Editing video terlalu cepat,negative"
"Pilihan lokasi yang menarik,positive"
"Terlalu banyak pemotongan adegan,negative"
"Kreativitas visual yang unik dan orisinal,positive"
"Narasi video melibatkan pemirsa,positive"
"Transisi tanpa batas antar adegan,positive"
"Pilihan model yang kontroversial,negative"
"posisi kamera yang tepat,positive"
"pemilihan warna yang jelek,negative"
"membosankan,negative"
"aku suka modelnya,positive"
"Penggunaan CGI yang keren,positive"
"pencahayaan terlalu gelap,negative"
"liriknya gaenak di dengar,negative"
"gasuka sama posisi kamera,negative"
"suara penyanyinya sangat memukau,positive"
"transisi yang sangat buruk,negative"
"CGI nya sangat tidak enak dipandang,negative"
"Font lirik dalam lagu jelek,negative"
"penyanyinya songong,negative"
"aktingnya kaku,negative"
